//<name> <group> <damage> <foundation> <background>
StoneAccent3 StoneAccent 0 0 0
StoneAccent4 StoneAccent 0 0 0
StoneAccent5 StoneAccent 0 0 0
StoneAccent6 StoneAccent 0 0 0
StoneAccent7 StoneAccent 0 0 0
StoneAccent8 StoneAccent 0 0 0
StoneAccent9 StoneAccent 0 0 0
StoneAccent10 StoneAccent 0 0 0
StoneFloor1 StoneFloor 0 0 0
StoneFloor2 StoneFloor 0 0 0
StoneFloor3 StoneFloor 0 0 0
StoneFloor4 StoneFloor 0 0 0
StoneFloor5 StoneFloor 0 0 0
StoneFloor6 StoneFloor 0 0 0
StoneFloor7 StoneFloor 0 0 0
StoneFloor8 StoneFloor 0 0 0
StoneFloor9 StoneFloor 0 0 0
StoneFloor10 StoneFloor 0 0 0
Town1 Town 0 0 0
Town2 Town 0 0 0
Town3 Town 0 0 0
Town4 Town 0 0 0
Town5 Town 0 0 0
Town6 Town 0 0 0
Town7 Town 0 0 0
Town8 Town 0 0 0
Town9 Town 0 0 0
Town10 Town 0 0 0
